city,week_start,cases,weekly_case_rate_per_100k,total_with_at_least_one_vaccine_dose,percent_with_at_least_one_vaccine_dose,total_with_complete_vaccine_series,percent_with_complete_vaccine_series
Alsip,1/26/20,0,0,0,0,0,0
Alsip,2/2/20,0,0,0,0,0,0
Alsip,2/9/20,0,0,0,0,0,0
Alsip,2/16/20,0,0,0,0,0,0
Alsip,2/23/20,0,0,0,0,0,0
Alsip,3/1/20,0,0,0,0,0,0
Alsip,3/8/20,0,0,0,0,0,0
Alsip,3/15/20,NA,NA,0,0,0,0
Alsip,3/22/20,6,31,0,0,0,0
Alsip,3/29/20,6,31,0,0,0,0
Alsip,4/5/20,22,114,0,0,0,0
Alsip,4/12/20,28,145,0,0,0,0
Alsip,4/19/20,25,130,0,0,0,0
Alsip,4/26/20,31,161,0,0,0,0
Alsip,5/3/20,30,156,0,0,0,0
Alsip,5/10/20,28,145,0,0,0,0
Alsip,5/17/20,29,150,0,0,0,0
Alsip,5/24/20,18,93,0,0,0,0
Alsip,5/31/20,14,73,0,0,0,0
Alsip,6/7/20,NA,NA,0,0,0,0
Alsip,6/14/20,5,26,0,0,0,0
Alsip,6/21/20,9,47,0,0,0,0
Alsip,6/28/20,9,47,0,0,0,0
Alsip,7/5/20,12,62,0,0,0,0
Alsip,7/12/20,21,109,0,0,0,0
Alsip,7/19/20,18,93,0,0,0,0
Alsip,7/26/20,12,62,0,0,0,0
Alsip,8/2/20,17,88,0,0,0,0
Alsip,8/9/20,27,140,0,0,0,0
Alsip,8/16/20,16,83,0,0,0,0
Alsip,8/23/20,23,119,0,0,0,0
Alsip,8/30/20,37,192,0,0,0,0
Alsip,9/6/20,11,57,0,0,0,0
Alsip,9/13/20,13,67,0,0,0,0
Alsip,9/20/20,19,99,0,0,0,0
Alsip,9/27/20,28,145,0,0,0,0
Alsip,10/4/20,37,192,0,0,0,0
Alsip,10/11/20,58,301,0,0,0,0
Alsip,10/18/20,66,342,0,0,0,0
Alsip,10/25/20,89,462,0,0,0,0
Alsip,11/1/20,101,524,0,0,0,0
Alsip,11/8/20,149,773,0,0,0,0
Alsip,11/15/20,122,633,0,0,0,0
Alsip,11/22/20,94,488,0,0,0,0
Alsip,11/29/20,128,664,0,0,0,0
Alsip,12/6/20,79,410,0,0,0,0
Alsip,12/13/20,59,306,64,0.3,0,0
Alsip,12/20/20,49,254,140,0.7,0,0
Alsip,12/27/20,71,368,226,1.2,0,0
Alsip,1/3/21,70,363,293,1.5,81,0.4
Alsip,1/10/21,65,337,408,2.1,136,0.7
Alsip,1/17/21,38,197,562,2.9,173,0.9
Alsip,1/24/21,33,171,1046,5.4,233,1.2
Alsip,1/31/21,28,145,1452,7.5,323,1.7
Alsip,2/7/21,15,78,1844,9.6,538,2.8
Alsip,2/14/21,15,78,2194,11.4,753,3.9
Alsip,2/21/21,13,67,2490,12.9,1171,6.1
Alsip,2/28/21,9,47,2863,14.9,1499,7.8
Alsip,3/7/21,6,31,3355,17.4,1958,10.2
Alsip,3/14/21,23,119,3876,20.1,2350,12.2
Alsip,3/21/21,37,192,4495,23.3,2706,14
Alsip,3/28/21,41,213,5146,26.7,3084,16
Alsip,4/4/21,43,223,5887,30.5,3768,19.5
Alsip,4/11/21,31,161,6660,34.5,4327,22.4
Alsip,4/18/21,38,197,7240,37.6,4821,25
Alsip,4/25/21,23,119,7550,39.2,5273,27.4
Alsip,5/2/21,27,140,7788,40.4,5676,29.4
Arlington Heights,1/26/20,0,0,0,0,0,0
Arlington Heights,2/2/20,0,0,0,0,0,0
Arlington Heights,2/9/20,0,0,0,0,0,0
Arlington Heights,2/16/20,0,0,0,0,0,0
Arlington Heights,2/23/20,0,0,0,0,0,0
Arlington Heights,3/1/20,NA,NA,0,0,0,0
Arlington Heights,3/8/20,0,0,0,0,0,0
Arlington Heights,3/15/20,5,7,0,0,0,0
Arlington Heights,3/22/20,11,15,0,0,0,0
Arlington Heights,3/29/20,25,33,0,0,0,0
Arlington Heights,4/5/20,32,43,0,0,0,0
Arlington Heights,4/12/20,26,35,0,0,0,0
Arlington Heights,4/19/20,46,61,0,0,0,0
Arlington Heights,4/26/20,59,79,0,0,0,0
Arlington Heights,5/3/20,75,100,0,0,0,0
Arlington Heights,5/10/20,45,60,0,0,0,0
Arlington Heights,5/17/20,77,103,0,0,0,0
Arlington Heights,5/24/20,55,73,0,0,0,0
Arlington Heights,5/31/20,33,44,0,0,0,0
Arlington Heights,6/7/20,20,27,0,0,0,0
Arlington Heights,6/14/20,14,19,0,0,0,0
Arlington Heights,6/21/20,38,51,0,0,0,0
Arlington Heights,6/28/20,25,33,0,0,0,0
Arlington Heights,7/5/20,34,45,0,0,0,0
Arlington Heights,7/12/20,34,45,0,0,0,0
Arlington Heights,7/19/20,43,57,0,0,0,0
Arlington Heights,7/26/20,22,29,0,0,0,0
Arlington Heights,8/2/20,38,51,0,0,0,0
Arlington Heights,8/9/20,54,72,0,0,0,0
Arlington Heights,8/16/20,58,77,0,0,0,0
Arlington Heights,8/23/20,80,107,0,0,0,0
Arlington Heights,8/30/20,59,79,0,0,0,0
Arlington Heights,9/6/20,41,55,0,0,0,0
Arlington Heights,9/13/20,61,81,0,0,0,0
Arlington Heights,9/20/20,60,80,0,0,0,0
Arlington Heights,9/27/20,54,72,0,0,0,0
Arlington Heights,10/4/20,71,95,0,0,0,0
Arlington Heights,10/11/20,100,133,0,0,0,0
Arlington Heights,10/18/20,159,212,0,0,0,0
