"city","month","day","year","cases","weekly_case_rate_per_100k","total_with_at_least_one_vaccine_dose","percent_with_at_least_one_vaccine_dose","total_with_complete_vaccine_series","percent_with_complete_vaccine_series","date","pct_complete_vax","pct_first_vax"
"Alsip","05","02","2021","27","140","7788","40.4","5676","29.4",2021-05-02,0.294,0.404
"Arlington Heights","05","02","2021","61","81","47125","62.7","36260","48.3",2021-05-02,0.483,0.627
"Barrington","05","02","2021","7","124","5366","95.3","4157","73.8",2021-05-02,0.738,0.953
"Bartlett","05","02","2021","7","42","9161","54.5","6816","40.6",2021-05-02,0.406,0.545
"Bedford Park","05","02","2021",NA,NA,"320","55.2","234","40.3",2021-05-02,0.403,0.552
"Bellwood","05","02","2021","25","131","7534","39.5","5523","29",2021-05-02,0.29,0.395
"Berkeley","05","02","2021","5","96","2589","49.7","2007","38.5",2021-05-02,0.385,0.497
"Berwyn","05","02","2021","60","106","26398","46.6","18795","33.2",2021-05-02,0.332,0.466
"Blue Island","05","02","2021","46","194","8425","35.5","5610","23.7",2021-05-02,0.237,0.355
"Bridgeview","05","02","2021","18","109","5935","36.1","4168","25.3",2021-05-02,0.253,0.361
"Broadview","05","02","2021","10","126","3368","42.5","2452","30.9",2021-05-02,0.309,0.425
"Brookfield","05","02","2021","9","47","10259","54.1","7780","41",2021-05-02,0.41,0.541
"Buffalo Grove","05","02","2021","18","132","7177","52.6","5539","40.6",2021-05-02,0.406,0.526
"Burnham","05","02","2021","7","166","954","22.7","707","16.8",2021-05-02,0.168,0.227
"Burr Ridge","05","02","2021",NA,NA,"2068","53.9","1698","44.2",2021-05-02,0.442,0.539
"Calumet City","05","02","2021","56","151","10896","29.4","7884","21.3",2021-05-02,0.213,0.294
"Calumet Park","05","02","2021","13","166","2583","33","1896","24.2",2021-05-02,0.242,0.33
"Chicago Heights","05","02","2021","54","178","9429","31.1","6654","22",2021-05-02,0.22,0.311
"Chicago Ridge","05","02","2021","19","133","4746","33.2","3335","23.3",2021-05-02,0.233,0.332
"Cicero","05","02","2021","78","93","34701","41.4","21897","26.1",2021-05-02,0.261,0.414
