municipality,allocation_score,population,pop_allocation,equity_allocation,pct_pop_cook_cty,final_allocation
Cicero,87.78,"80,796","$477,054.13","$585,858.64",,"$1,062,912.77"
Berwyn,70.00,"54,391","$321,147.72","$467,203.73",,"$788,351.45"
Harvey,93.33,"24,408","$144,115.27","$622,938.30",,"$767,053.57"
Dolton,92.22,"22,348","$131,952.15","$615,522.37",,"$747,474.52"
Chicago Heights,83.33,"29,322","$173,129.63","$556,194.91",,"$729,324.54"
Calumet City,76.67,"35,913","$212,045.71","$511,699.32",,"$723,745.03"
Blue Island,84.44,"22,899","$135,205.49","$563,610.84",,"$698,816.33"
Maywood,82.22,"23,158","$136,734.73","$548,778.98",,"$685,513.71"
Oak Lawn,53.33,"55,022","$324,873.41","$355,964.74",,"$680,838.16"
Markham,91.11,"12,314","$72,707.12","$608,106.44",,"$680,813.56"
Melrose Park,76.67,"24,703","$145,857.07","$511,699.32",,"$657,556.39"
Riverdale,86.67,"13,077","$77,212.20","$578,442.71",,"$655,654.91"
Robbins,93.33,"5,438","$32,108.28","$622,938.30",,"$655,046.58"
Summit,84.44,"11,116","$65,633.62","$563,610.84",,"$629,244.46"
Burnham,90.00,"4,088","$24,137.30","$600,690.51",,"$624,827.81"
Wheeling,58.89,"38,646","$228,182.51","$393,044.40",100%,"$621,226.91"
Evanston,27.78,"73,473","$433,816.01","$185,398.30",,"$619,214.31"
Des Plaines,40.00,"58,899","$347,764.88","$266,973.56",,"$614,738.44"
Bellwood,73.33,"18,672","$110,247.47","$489,451.52",,"$599,698.99"
Burbank,64.44,"28,289","$167,030.35","$430,124.07",,"$597,154.42"
Hometown,85.56,"4,177","$24,662.79","$571,026.78",,"$595,689.57"
Ford Heights,86.67,"2,682","$15,835.67","$578,442.71",,"$594,278.38"
Arlington Heights,22.22,"74,760","$441,415.01","$148,318.64",,"$589,733.65"
Sauk Village,78.89,"10,246","$60,496.77","$526,531.18",,"$587,027.95"
Stone Park,83.33,"4,826","$28,494.77","$556,194.91",,"$584,689.68"
Chicago Ridge,74.44,"13,928","$82,236.87","$496,867.45",,"$579,104.32"
Hazel Crest,74.44,"13,565","$80,093.56","$496,867.45",,"$576,961.02"
Park Forest,82.22,"21,210","$125,232.91","$548,778.98",85%,"$572,910.11"
Schaumburg,18.89,"72,887","$430,356.01","$126,070.85",100%,"$556,426.86"
South Holland,64.44,"21,296","$125,740.69","$430,124.07",,"$555,864.76"
Palatine,22.22,"67,482","$398,442.58","$148,318.64",,"$546,761.23"
Phoenix,80.00,"1,908","$11,265.65","$533,947.12",,"$545,212.76"
Stickney,75.56,"6,566","$38,768.47","$504,283.39",,"$543,051.86"
Elmwood Park,58.89,"24,098","$142,284.90","$393,044.40",,"$535,329.30"
Skokie,24.44,"62,700","$370,207.61","$163,150.51",,"$533,358.12"
Lynwood,71.11,"9,194","$54,285.31","$474,619.66",,"$528,904.97"
Dixmoor,75.56,"3,563","$21,037.48","$504,283.39",,"$525,320.86"
Country Club Hills,63.33,"16,482","$97,316.78","$422,708.13",,"$520,024.91"
Niles,52.22,"28,938","$170,862.33","$348,548.81",,"$519,411.14"
Posen,72.22,"5,865","$34,629.47","$482,035.59",,"$516,665.06"
Lansing,52.22,"27,402","$161,793.12","$348,548.81",,"$510,341.94"
South Chicago Heights,72.22,"4,003","$23,635.42","$482,035.59",,"$505,671.01"
Mount Prospect,27.78,"53,719","$317,179.95","$185,398.30",,"$502,578.25"
Justice,63.33,"12,608","$74,443.02","$422,708.13",,"$497,151.16"
Broadview,66.67,"7,618","$44,979.93","$444,955.93",,"$489,935.86"
Orland Park,20.00,"57,857","$341,612.47","$133,486.78",100%,"$475,099.25"
Streamwood,34.44,"39,228","$231,618.89","$229,893.90",,"$461,512.78"
River Grove,60.00,"9,883","$58,353.46","$400,460.34",,"$458,813.79"
Palos Hills,53.33,"17,060","$100,729.53","$355,964.74",,"$456,694.28"
Lyons,58.89,"10,372","$61,240.72","$393,044.40",,"$454,285.13"
Calumet Park,61.11,"7,602","$44,885.46","$407,876.27",,"$452,761.73"
Oak Park,21.11,"52,381","$309,279.82","$140,902.71",,"$450,182.53"
Richton Park,55.56,"13,292","$78,481.65","$370,796.61",,"$449,278.26"
Brookfield,51.11,"18,310","$108,110.07","$341,132.88",,"$449,242.95"
