county,tract,state,placefp14,stab,cntyname,placefp,placenm,placenm14,pop10,afact
17031,7702.01,17,99999,IL,Cook IL, , , ,75,0.0127
17031,7702.02,17,99999,IL,Cook IL, , , ,6,0.0012
17031,7703.00,17,99999,IL,Cook IL, , , ,440,0.0602
17031,7704.00,17,99999,IL,Cook IL, , , ,16,0.0036
17031,7705.00,17,99999,IL,Cook IL, , , ,3831,0.9394
17031,7708.00,17,99999,IL,Cook IL, , , ,2,0.0004
17031,8007.00,17,99999,IL,Cook IL, , , ,70,0.0136
17031,8008.00,17,99999,IL,Cook IL, , , ,316,0.1432
17031,8015.00,17,99999,IL,Cook IL, , , ,845,0.1425
17031,8016.01,17,99999,IL,Cook IL, , , ,21,0.005
17031,8016.03,17,99999,IL,Cook IL, , , ,1705,0.4423
17031,8016.05,17,99999,IL,Cook IL, , , ,231,0.0413
17031,8016.06,17,99999,IL,Cook IL, , , ,2075,0.3421
17031,8016.07,17,99999,IL,Cook IL, , , ,1054,0.1994
17031,8016.08,17,99999,IL,Cook IL, , , ,40,0.0061
17031,8018.00,17,99999,IL,Cook IL, , , ,39,0.0069
17031,8020.02,17,99999,IL,Cook IL, , , ,1912,0.377
17031,8020.03,17,99999,IL,Cook IL, , , ,62,0.0231
17031,8020.04,17,99999,IL,Cook IL, , , ,4320,0.8028
17031,8024.02,17,99999,IL,Cook IL, , , ,50,0.0104
17031,8025.03,17,99999,IL,Cook IL, , , ,78,0.0126
17031,8027.02,17,99999,IL,Cook IL, , , ,788,0.1752
17031,8030.05,17,99999,IL,Cook IL, , , ,9,0.0034
17031,8030.07,17,99999,IL,Cook IL, , , ,158,0.0301
17031,8030.17,17,99999,IL,Cook IL, , , ,545,0.09
17031,8036.06,17,99999,IL,Cook IL, , , ,1144,0.138
17031,8036.08,17,99999,IL,Cook IL, , , ,947,0.1293
17031,8036.10,17,99999,IL,Cook IL, , , ,281,0.039
17031,8036.12,17,99999,IL,Cook IL, , , ,2827,0.7995
17031,8041.02,17,99999,IL,Cook IL, , , ,1,0.0001
17031,8041.05,17,99999,IL,Cook IL, , , ,110,0.0275
17031,8041.06,17,99999,IL,Cook IL, , , ,28,0.004
17031,8041.08,17,99999,IL,Cook IL, , , ,12,0.0031
17031,8041.09,17,99999,IL,Cook IL, , , ,1072,0.3628
17031,8042.01,17,99999,IL,Cook IL, , , ,63,0.0077
17031,8042.02,17,99999,IL,Cook IL, , , ,544,0.0729
17031,8043.10,17,99999,IL,Cook IL, , , ,252,0.0277
17031,8043.11,17,99999,IL,Cook IL, , , ,1035,0.127
17031,8044.03,17,99999,IL,Cook IL, , , ,133,0.0197
17031,8044.04,17,99999,IL,Cook IL, , , ,52,0.0099
