city,week_start,cases,weekly_case_rate_per_100k,total_with_at_least_one_vaccine_dose,percent_with_at_least_one_vaccine_dose,total_with_complete_vaccine_series,percent_with_complete_vaccine_series
Alsip,5/2/2021,27,140,8013,41.6,5866,30.4
Alsip,5/9/2021,21,109,8306,43.1,6451,33.5
Alsip,5/16/2021,19,99,8741,45.3,6777,35.2
Alsip,5/23/2021,7,36,9021,46.8,7026,36.4
Alsip,5/30/2021,NA,NA,9255,48,7189,37.3
Alsip,6/6/2021,7,36,9453,49,7417,38.5
Alsip,6/13/2021,NA,NA,9611,49.9,7653,39.7
Arlington Heights,5/2/2021,61,81,47831,63.7,36836,49
Arlington Heights,5/9/2021,48,64,49349,65.7,39001,51.9
Arlington Heights,5/16/2021,49,65,51370,68.4,41305,55
Arlington Heights,5/23/2021,29,39,52549,70,42439,56.5
Arlington Heights,5/30/2021,8,11,53400,71.1,43404,57.8
Arlington Heights,6/6/2021,8,11,54169,72.1,44623,59.4
Arlington Heights,6/13/2021,NA,NA,54725,72.9,45461,60.5
Barrington,5/2/2021,8,142,5428,96.4,4215,74.9
Barrington,5/9/2021,13,231,5623,99.9,4476,79.5
Barrington,5/16/2021,11,195,5857,104,4711,83.7
Barrington,5/23/2021,0,0,5956,105.8,4818,85.6
Barrington,5/30/2021,0,0,6069,107.8,4936,87.7
Barrington,6/6/2021,0,0,6139,109,5049,89.7
Barrington,6/13/2021,0,0,6189,109.9,5119,90.9
Barrington Hills,5/2/2021,0,0,NA,NA,NA,NA
Barrington Hills,5/9/2021,0,0,9,0.4,NA,NA
Barrington Hills,5/16/2021,0,0,9,0.4,6,0.3
Barrington Hills,5/23/2021,0,0,9,0.4,6,0.3
Barrington Hills,5/30/2021,0,0,9,0.4,6,0.3
Barrington Hills,6/6/2021,0,0,9,0.4,6,0.3
Barrington Hills,6/13/2021,0,0,9,0.4,6,0.3
Bartlett,5/2/2021,6,36,9290,55.3,7061,42
Bartlett,5/9/2021,8,48,9614,57.2,7483,44.5
Bartlett,5/16/2021,5,30,10019,59.6,7884,46.9
Bartlett,5/23/2021,8,48,10302,61.3,8112,48.3
Bartlett,5/30/2021,8,48,10567,62.9,8353,49.7
Bartlett,6/6/2021,NA,NA,10719,63.8,8576,51.1
Bartlett,6/13/2021,NA,NA,10862,64.7,8756,52.1
Bedford Park,5/2/2021,0,0,324,55.9,239,41.2
Bedford Park,5/9/2021,NA,NA,339,58.4,252,43.4
Bedford Park,5/16/2021,0,0,366,63.1,266,45.9
Bedford Park,5/23/2021,0,0,377,65,279,48.1
Bedford Park,5/30/2021,NA,NA,391,67.4,287,49.5
Bedford Park,6/6/2021,0,0,402,69.3,309,53.3
Bedford Park,6/13/2021,0,0,410,70.7,318,54.8
Bellwood,5/2/2021,27,142,7665,40.2,5640,29.6
Bellwood,5/9/2021,18,94,7955,41.7,6043,31.7
Bellwood,5/16/2021,24,126,8480,44.5,6392,33.5
Bellwood,5/23/2021,22,115,8797,46.1,6627,34.7
Bellwood,5/30/2021,7,37,9030,47.3,6837,35.9
Bellwood,6/6/2021,NA,NA,9248,48.5,7101,37.2
Bellwood,6/13/2021,0,0,9417,49.4,7355,38.6
Berkeley,5/2/2021,6,115,2645,50.8,2069,39.7
Berkeley,5/9/2021,5,96,2735,52.5,2187,42
Berkeley,5/16/2021,NA,NA,2872,55.1,2280,43.8
Berkeley,5/23/2021,NA,NA,2946,56.6,2349,45.1
Berkeley,5/30/2021,NA,NA,3001,57.6,2405,46.2
Berkeley,6/6/2021,0,0,3069,58.9,2481,47.6
Berkeley,6/13/2021,0,0,3110,59.7,2537,48.7
Berwyn,5/2/2021,62,109,26809,47.3,19110,33.7
Berwyn,5/9/2021,43,76,28244,49.9,20530,36.2
Berwyn,5/16/2021,30,53,29621,52.3,21764,38.4
Berwyn,5/23/2021,20,35,30612,54,22645,40
Berwyn,5/30/2021,20,35,31460,55.5,23578,41.6
Berwyn,6/6/2021,11,19,32170,56.8,24553,43.3
Berwyn,6/13/2021,6,11,32741,57.8,25154,44.4
Blue Island,5/2/2021,47,198,8548,36.1,5716,24.1
Blue Island,5/9/2021,29,122,8989,37.9,6292,26.5
Blue Island,5/16/2021,23,97,9546,40.3,6883,29
Blue Island,5/23/2021,11,46,9961,42,7205,30.4
Blue Island,5/30/2021,12,51,10307,43.5,7481,31.6
Blue Island,6/6/2021,6,25,10689,45.1,7804,32.9
