"date","city","pct_complete_vax"
2021-01-03,"Alsip",0.004
2021-01-10,"Alsip",0.007
2021-01-17,"Alsip",0.009
2021-01-24,"Alsip",0.012
2021-01-31,"Alsip",0.017
2021-02-07,"Alsip",0.028
2021-02-14,"Alsip",0.039
2021-02-21,"Alsip",0.061
2021-02-28,"Alsip",0.078
2021-03-07,"Alsip",0.102
2021-03-14,"Alsip",0.122
2021-03-21,"Alsip",0.14
2021-03-28,"Alsip",0.16
2021-04-04,"Alsip",0.195
2021-04-11,"Alsip",0.224
2021-04-18,"Alsip",0.25
2021-04-25,"Alsip",0.274
2021-01-03,"Arlington Heights",0.008
2021-01-10,"Arlington Heights",0.011
2021-01-17,"Arlington Heights",0.014
2021-01-24,"Arlington Heights",0.024
2021-01-31,"Arlington Heights",0.034
2021-02-07,"Arlington Heights",0.043
2021-02-14,"Arlington Heights",0.062
2021-02-21,"Arlington Heights",0.099
2021-02-28,"Arlington Heights",0.136
2021-03-07,"Arlington Heights",0.188
2021-03-14,"Arlington Heights",0.215
2021-03-21,"Arlington Heights",0.233
2021-03-28,"Arlington Heights",0.26
2021-04-04,"Arlington Heights",0.319
2021-04-11,"Arlington Heights",0.366
2021-04-18,"Arlington Heights",0.417
2021-04-25,"Arlington Heights",0.454
2021-01-03,"Barrington",0.018
2021-01-10,"Barrington",0.024
2021-01-17,"Barrington",0.027
2021-01-24,"Barrington",0.045
2021-01-31,"Barrington",0.05
2021-02-07,"Barrington",0.06
2021-02-14,"Barrington",0.082
2021-02-21,"Barrington",0.132
2021-02-28,"Barrington",0.203
2021-03-07,"Barrington",0.281
2021-03-14,"Barrington",0.327
2021-03-21,"Barrington",0.357
2021-03-28,"Barrington",0.4
2021-04-04,"Barrington",0.476
2021-04-11,"Barrington",0.55
2021-04-18,"Barrington",0.62
2021-04-25,"Barrington",0.684
2021-01-03,"Barrington Hills",0
2021-01-10,"Barrington Hills",0
2021-01-17,"Barrington Hills",0
2021-01-24,"Barrington Hills",0
2021-01-31,"Barrington Hills",0
2021-02-07,"Barrington Hills",0
2021-02-14,"Barrington Hills",0
2021-02-21,"Barrington Hills",0
2021-02-28,"Barrington Hills",0
2021-03-07,"Barrington Hills",0
2021-01-03,"Bartlett",0.006
2021-01-10,"Bartlett",0.009
2021-01-17,"Bartlett",0.014
2021-01-24,"Bartlett",0.019
2021-01-31,"Bartlett",0.026
2021-02-07,"Bartlett",0.042
2021-02-14,"Bartlett",0.05
2021-02-21,"Bartlett",0.065
2021-02-28,"Bartlett",0.095
2021-03-07,"Bartlett",0.141
2021-03-14,"Bartlett",0.164
2021-03-21,"Bartlett",0.181
2021-03-28,"Bartlett",0.21
2021-04-04,"Bartlett",0.252
2021-04-11,"Bartlett",0.29
2021-04-18,"Bartlett",0.331
2021-04-25,"Bartlett",0.363
2021-01-10,"Bedford Park",0.01
2021-01-17,"Bedford Park",0.021
2021-01-31,"Bedford Park",0.036
2021-02-14,"Bedford Park",0.057
2021-02-21,"Bedford Park",0.088
2021-02-28,"Bedford Park",0.109
2021-03-07,"Bedford Park",0.15
2021-03-14,"Bedford Park",0.169
2021-03-21,"Bedford Park",0.195
2021-03-28,"Bedford Park",0.226
2021-04-04,"Bedford Park",0.284
2021-04-11,"Bedford Park",0.324
2021-04-18,"Bedford Park",0.36
2021-04-25,"Bedford Park",0.376
2021-01-03,"Bellwood",0.002
2021-01-10,"Bellwood",0.003
2021-01-17,"Bellwood",0.004
2021-01-24,"Bellwood",0.007
2021-01-31,"Bellwood",0.01
2021-02-07,"Bellwood",0.013
2021-02-14,"Bellwood",0.025
2021-02-21,"Bellwood",0.036
2021-02-28,"Bellwood",0.051
2021-03-07,"Bellwood",0.069
2021-03-14,"Bellwood",0.087
2021-03-21,"Bellwood",0.102
2021-03-28,"Bellwood",0.142
2021-04-04,"Bellwood",0.179
2021-04-11,"Bellwood",0.21
2021-04-18,"Bellwood",0.244
2021-04-25,"Bellwood",0.27
